
# Efinity Pinout Report
# Version: 2021.1.165
# Date: 2022-01-05 17:11

# Copyright (C) 2017 - 2021 Efinix Inc. All rights reserved.

# Device: T8F81
# Package status: final
# Project: obstacle_whicle
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,VCCA_PLL,,Power,1C,,,,1.1 V PLL Power
A2,GND,,Power,,,,,Ground
A3,TDI,,Input,1B,3.3 V,,,Configuration
A4,TDO,,Output,1B,3.3 V,,,Configuration
A5,GPIOR_00,echo[0],Input,2A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
A6,GPIOR_03,echo[1],Input,2A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
A7,VCCIO2A,,Power,2A,3.3 V,,,VCCIO Power
A8,GPIOR_08,,Input,2A,3.3 V,,weak pullup,User IO
A9,GPIOR_10,,Input,2A,3.3 V,,weak pullup,User IO
B1,GNDA_PLL,,Power,,,,,PLL Ground
B2,VCCIO1B,,Power,1B,3.3 V,,,VCCIO Power
B3,GPIOL_21_NSTATUS,led[0],Output,1B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
B4,TMS,,Input,1B,3.3 V,,,Configuration
B5,GPIOR_01,trigger[0],Output,2A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
B6,GPIOR_05,trigger[1],Output,2A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
B7,GND,,Power,,,,,Ground
B8,GPIOR_11,,Input,2A,3.3 V,,weak pullup,User IO
B9,GPIOR_14,,Input,2A,3.3 V,,weak pullup,User IO
C1,VCC,,Power,,,,,1.1 V VCC Power
C2,GPIOL_16_CLK2,,Input,1B,3.3 V,,weak pullup,User IO/GCLK
C3,GPIOL_20_PLLIN,fpgaclk,Input,1B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
C4,TCK,,Input,1B,3.3 V,,,Configuration
C5,GPIOR_02_RESERVED_OUT,,Input,2A,3.3 V,,weak pullup,User IO
C6,GPIOR_06,echo[2],Input,2A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
C7,GPIOR_07,trigger[2],Output,2A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
C8,GPIOR_12,,Input,2A,3.3 V,,weak pullup,User IO
C9,GPIOR_15_CBUS0,,Input,2A,3.3 V,,weak pullup,User IO/Configuration
D1,GND,,Power,,,,,Ground
D2,GPIOL_17_CLK3,,Input,1B,3.3 V,,weak pullup,User IO/GCLK
D3,GPIOL_19_CTRL3,,Input,1B,3.3 V,,weak pullup,User IO/GCTRL
D4,VCC,,Power,,,,,1.1 V VCC Power
D5,GND,,Power,,,,,Ground
D6,GPIOR_13,,Input,2A,3.3 V,,weak pullup,User IO
D7,GPIOR_16_CTRL7_CBUS1,led[2],Output,2A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL/Configuration
D8,GPIOR_17_CTRL6_CBUS2,,Input,2A,3.3 V,,weak pullup,User IO/GCTRL/Configuration
D9,GPIOR_18_CLK7,,Input,2A,3.3 V,,weak pullup,User IO/GCLK
E1,GPIOL_15_CLK1,,Input,1A,3.3 V,,weak pullup,User IO/GCLK
E2,GPIOL_14_CLK0,,Input,1A,3.3 V,,weak pullup,User IO/GCLK
E3,GPIOL_18_CTRL2,,Input,1B,3.3 V,,weak pullup,User IO/GCTRL
E4,GND,,Power,,,,,Ground
E5,VCC,,Power,,,,,1.1 V VCC Power
E6,GPIOR_23_CTRL4,,Input,2B,3.3 V,,weak pullup,User IO/GCTRL
E7,GPIOR_21_CLK4_CBSEL1,,Input,2B,3.3 V,,weak pullup,User IO/GCLK
E8,GPIOR_19_CLK6,,Input,2A,3.3 V,,weak pullup,User IO/GCLK
E9,GND,,Power,,,,,Ground
F1,GPIOL_13_CTRL1,,Input,1A,3.3 V,,weak pullup,User IO/GCTRL
F2,VCC,,Power,,,,,1.1 V VCC Power
F3,GPIOL_11_CDI3,,Input,1A,3.3 V,,weak pullup,User IO
